v8-version,6,8,275,32,-node.52,0
shared-library,/usr/bin/node,0x400000,0x2440000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.27.so,0x7fe48d9e3000,0x7fe48dbca000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.27.so,0x7fe48ddd4000,0x7fe48ddee000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7fe48dff3000,0x7fe48e00a000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.27.so,0x7fe48e20b000,0x7fe48e3a8000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.25,0x7fe48e5a9000,0x7fe48e722000,0
shared-library,/lib/x86_64-linux-gnu/librt-2.27.so,0x7fe48e932000,0x7fe48e939000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.27.so,0x7fe48eb3a000,0x7fe48eb3d000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.27.so,0x7fe48ed3e000,0x7fe48ed65000,0
shared-library,[vdso],0x7fff35723000,0x7fff35725000,0
shared-library,[vsyscall],0xffffffffff600000,0xffffffffff601000,0
profiler,begin,1000
code-creation,Builtin,3,1808,0x15f333989e80,1396,RecordWrite
code-creation,Builtin,3,1825,0x15f33398a440,32,AdaptorWithExitFrame
code-creation,Builtin,3,1829,0x15f33398a4a0,32,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,1833,0x15f33398a500,243,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,1837,0x15f33398a640,205,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1842,0x15f33398a760,274,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1847,0x15f33398a8c0,299,CallFunction_ReceiverIsAny
code-creation,Builtin,3,1850,0x15f33398aa40,139,CallBoundFunction
code-creation,Builtin,3,1854,0x15f33398ab20,120,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,1858,0x15f33398abe0,120,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,1861,0x15f33398aca0,120,Call_ReceiverIsAny
code-creation,Builtin,3,1865,0x15f33398ad60,1008,CallProxy
code-creation,Builtin,3,1869,0x15f33398b1a0,81,CallVarargs
code-creation,Builtin,3,1873,0x15f33398b240,1380,CallWithSpread
code-creation,Builtin,3,1878,0x15f33398b800,1360,CallWithArrayLike
code-creation,Builtin,3,1881,0x15f33398bda0,102,CallForwardVarargs
code-creation,Builtin,3,1885,0x15f33398be60,102,CallFunctionForwardVarargs
code-creation,Builtin,3,1888,0x15f33398bf20,26,ConstructFunction
code-creation,Builtin,3,1892,0x15f33398bf80,139,ConstructBoundFunction
code-creation,Builtin,3,1895,0x15f33398c060,43,ConstructedNonConstructable
code-creation,Builtin,3,1899,0x15f33398c0e0,86,Construct
code-creation,Builtin,3,1902,0x15f33398c180,81,ConstructVarargs
code-creation,Builtin,3,1906,0x15f33398c220,1396,ConstructWithSpread
code-creation,Builtin,3,1910,0x15f33398c7e0,1432,ConstructWithArrayLike
code-creation,Builtin,3,1913,0x15f33398cdc0,156,ConstructForwardVarargs
code-creation,Builtin,3,1917,0x15f33398cea0,156,ConstructFunctionForwardVarargs
code-creation,Builtin,3,1921,0x15f33398cf80,250,JSConstructStubGeneric
code-creation,Builtin,3,1924,0x15f33398d0c0,169,JSBuiltinsConstructStub
code-creation,Builtin,3,1928,0x15f33398d1c0,721,FastNewObject
code-creation,Builtin,3,1932,0x15f33398d4e0,355,FastNewClosure
code-creation,Builtin,3,1935,0x15f33398d6a0,251,FastNewFunctionContextEval
code-creation,Builtin,3,1939,0x15f33398d7e0,247,FastNewFunctionContextFunction
code-creation,Builtin,3,1942,0x15f33398d920,246,CreateRegExpLiteral
code-creation,Builtin,3,1947,0x15f33398da60,650,CreateEmptyArrayLiteral
code-creation,Builtin,3,1952,0x15f33398dd40,1540,CreateShallowArrayLiteral
code-creation,Builtin,3,1956,0x15f33398e3a0,1484,CreateShallowObjectLiteral
code-creation,Builtin,3,1960,0x15f33398e9c0,1004,ConstructProxy
code-creation,Builtin,3,1963,0x15f33398ee00,122,JSEntryTrampoline
code-creation,Builtin,3,1966,0x15f33398eec0,122,JSConstructEntryTrampoline
code-creation,Builtin,3,1970,0x15f33398ef80,326,ResumeGeneratorTrampoline
code-creation,Builtin,3,1974,0x15f33398f120,17,InterruptCheck
code-creation,Builtin,3,1977,0x15f33398f180,17,StackCheck
code-creation,Builtin,3,1982,0x15f33398f1e0,727,StringCharAt
code-creation,Builtin,3,1985,0x15f33398f500,838,StringCodePointAtUTF16
code-creation,Builtin,3,1989,0x15f33398f8a0,846,StringCodePointAtUTF32
code-creation,Builtin,3,1992,0x15f33398fc40,592,StringEqual
code-creation,Builtin,3,2001,0x15f33398fee0,272,StringGreaterThan
code-creation,Builtin,3,2005,0x15f333990040,272,StringGreaterThanOrEqual
code-creation,Builtin,3,2016,0x15f3339901a0,1052,StringIndexOf
code-creation,Builtin,3,2022,0x15f333990600,272,StringLessThan
code-creation,Builtin,3,2026,0x15f333990760,272,StringLessThanOrEqual
code-creation,Builtin,3,2029,0x15f3339908c0,190,StringRepeat
code-creation,Builtin,3,2034,0x15f3339909c0,3006,StringSubstring
code-creation,Builtin,3,2037,0x15f3339915c0,72,OrderedHashTableHealIndex
code-creation,Builtin,3,2041,0x15f333991660,820,InterpreterEntryTrampoline
code-creation,Builtin,3,2045,0x15f3339919e0,85,InterpreterPushArgsThenCall
code-creation,Builtin,3,2049,0x15f333991a80,91,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,2053,0x15f333991b20,88,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,2057,0x15f333991bc0,84,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,2061,0x15f333991c60,84,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,2065,0x15f333991d00,87,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,2069,0x15f333991da0,200,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,2073,0x15f333991ec0,82,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,2077,0x15f333991f60,75,InterpreterOnStackReplacement
code-creation,Builtin,3,2081,0x15f333992000,832,CompileLazy
code-creation,Builtin,3,2086,0x15f333992380,919,CompileLazyDeoptimizedCode
code-creation,Builtin,3,2090,0x15f333989d60,201,DeserializeLazy
code-creation,Builtin,3,2094,0x15f333992760,163,InstantiateAsmJs
code-creation,Builtin,3,2097,0x15f333992860,47,NotifyDeoptimized
code-creation,Builtin,3,2100,0x15f3339928e0,37,ContinueToCodeStubBuiltin
code-creation,Builtin,3,2104,0x15f333992960,45,ContinueToCodeStubBuiltinWithResult
